step,error_norm,px,py,pz,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6
0,0.5408326913195984,0.15291296556554193,0.001000885447252818,0.3044558456967691,0.0025,-0.0025,0.0025,0.0006236422150649915,0.0025,0.0,2.5,-2.5,2.5,0.6236422150649915,2.5,0.0
1,0.540160214307909,0.1533299376853466,0.0014032663098611509,0.3051321603226412,0.005,-0.005,0.005,0.0012267343964911664,0.005,0.0,2.5,-2.5,2.5,0.6030921814261748,2.5,0.0
2,0.5394878840142506,0.15374755161913098,0.0018071185220680172,0.3058078157201485,0.0075,-0.0075,0.0075,0.0018094019494679608,0.0075,0.0,2.5,-2.5,2.5,0.5826675529767944,2.5,0.0
3,0.5388157095214929,0.15416580146339262,0.0022124555360106893,0.3064828065373688,0.01,-0.01,0.01,0.0023717715149017193,0.01,0.0,2.5,-2.5,2.5,0.5623695654337587,2.5,0.0
4,0.5381437000422515,0.1545846812131942,0.0026192908359456285,0.3071571274736707,0.012413782597078345,-0.0125,0.0125,0.0029139709178198866,0.0125,0.0,2.413782597078345,-2.5,2.5,0.5421994029181673,2.5,0.0
5,0.5374728166395215,0.15500444522054171,0.003014273866227407,0.3078307732791219,0.014732431297439015,-0.015000000000000001,0.015000000000000001,0.0034367553225280356,0.015000000000000001,0.0,2.318648700360669,-2.5,2.5,0.5227844047081489,2.5,0.0
6,0.5368030513376901,0.15542521982506885,0.0033959426992779887,0.3085037388199121,0.016959873659515526,-0.0175,0.0175,0.003940937875880549,0.0175,0.0,2.2274423620765114,-2.5,2.5,0.5041825533525128,2.5,0.0
7,0.5361342534834842,0.15584709316320852,0.0037648233890769725,0.30917601905705633,0.01909986963311802,-0.02,0.02,0.004427296103666676,0.02,0.0,2.139995973602493,-2.5,2.5,0.4863582277861268,2.5,0.0
8,0.5354662841059065,0.15627014478639842,0.0041214208001078625,0.3098476090336719,0.021156018819012908,-0.0225,0.0225,0.004896573489160289,0.0225,0.0,2.0561491858948893,-2.5,2.5,0.46927738549361364,2.5,0.0
9,0.534799015013568,0.15669444639922925,0.0044662194406689185,0.3105185038682034,0.023131767421787495,-0.024999999999999998,0.024999999999999998,0.005349480983634212,0.024999999999999998,0.0,1.9757486027745852,-2.5,2.5,0.45290749447392276,2.5,0.0
10,0.53413232796217,0.15712006253610206,0.004799684269155335,0.3111886987482291,0.025030414907186365,-0.027499999999999997,0.027499999999999997,0.005786698451399879,0.027499999999999997,0.0,1.8986474853988693,-2.5,2.5,0.43721746776566756,2.5,0.0
11,0.5334661138867276,0.15754705118142678,0.0051222614732997565,0.3118581889248002,0.02685512037496435,-0.029999999999999995,0.029999999999999995,0.006208876051889907,0.029999999999999995,0.0,1.8247054677779861,-2.5,2.5,0.4221776004900277,2.5,0.0
12,0.5328002721935224,0.15797546433799378,0.005434379222511464,0.3125269697072688,0.028608908658117497,-0.032499999999999994,0.032499999999999994,0.006616635561250318,0.032499999999999994,0.0,1.7537882831531455,-2.5,2.5,0.40775950936041155,2.5,0.0
13,0.5321347101071631,0.15840534854777147,0.00573644839358306,0.31319503645855934,0.030294676159136908,-0.034999999999999996,0.034999999999999996,0.007010571635852582,0.034999999999999996,0.0,1.6857675010194106,-2.5,2.5,0.3939360746022641,2.5,0.0
14,0.5314693420684594,0.1588367453690532,0.006028863270137887,0.31386238459085136,0.03191519643368729,-0.0375,0.0375,0.007391253020074094,0.0375,0.0,1.6205202745503793,-2.5,2.5,0.38068138422151176,2.5,0.0
