step,time,pos_err_norm,rot_err_norm,err_6d_norm,qdot_max,line_dev,phase_error,sigma_min,condition_number,joint_center_cost,joint_margin_min,qdot_norm,px,py,pz,roll,pitch,yaw,r11,r12,r13,r21,r22,r23,r31,r32,r33,epx,epy,epz,erx,ery,erz,q1,q2,q3,q4,q5,q6,qdot1,qdot2,qdot3,qdot4,qdot5,qdot6,qdot_null1,qdot_null2,qdot_null3,qdot_null4,qdot_null5,qdot_null6,qdot_primary_norm,qdot_null_norm,qdot_null_ratio,null_task_leak_norm
0,0.0,0.0,8.620652195328901e-10,8.620652195328901e-10,0.0033795814015025066,0.0,0.0,4.5365982948088026e-05,17317.968371345567,1.0000799182757985,3.7210469200016277e-07,0.00413787394307214,0.3340806509489974,0.0010019155657902898,0.33093286030734786,-1.6757040199877338e-10,2.8786084627085984e-10,-1.2229417478692994e-10,0.9999999999414647,2.1832294947712118e-10,-4.556171412373189e-10,-1.2229413565316075e-10,1.0000000001134242,1.6757067017938358e-10,-2.8786104749878305e-10,2.5807600501082106e-10,1.0000000003226814,0.0,0.0,0.0,4.2564667531331177e-10,7.434781889873462e-10,-9.602881350464613e-11,4.30773848398046e-10,-3.3795814015025065e-06,1.488418768000651e-06,-8.136072048961807e-11,1.570001866826101,8.12732719834134e-11,4.3077384839804595e-07,-0.0033795814015025066,0.001488418768000651,-8.136072048961806e-08,0.0018668261010726561,8.12732719834134e-08,4.315513748667331e-07,-0.003379580550976068,0.0014884154974791717,-8.348104904842302e-08,0.0018668359178505903,7.913935808602953e-08,1.0837101277956815e-08,0.004137876500974581,381789.7983100088,0.0004855523258150399
1,0.001,4.839781973952688e-07,2.390462831061477e-08,4.845681859229332e-07,0.003367199347217029,2.2370024531372474e-07,4.29177231227941e-07,4.5261936798932765e-05,17357.781931635247,1.0000766016142495,7.431072843680461e-07,0.004123097286920735,0.33408112348168306,0.0010019157085530627,0.33093296931396576,-1.5409913587924206e-10,2.462439367415584e-08,3.0141163479001606e-10,0.9999999999414644,-2.05382817829637e-10,2.3880915449997486e-08,3.0141163477237276e-10,1.0000000001134244,1.5409914309470643e-10,-2.4624393682101675e-08,2.7154734016932025e-10,1.0000000003226812,-4.7164468541804894e-07,-5.86762891529799e-10,-1.0856261778435794e-07,7.07928429396745e-10,-2.3888807694286987e-08,-5.049346025692404e-10,5.143645654335522e-10,-6.746780748719535e-06,2.9724291374721843e-06,3.0763451810304343e-10,1.5700037268294929,5.720520924886006e-10,8.359071703550622e-08,-0.003367199347217029,0.0014840103694715332,3.889952385926615e-07,0.001860003391837431,4.907788205051871e-07,4.315483132706574e-07,-0.0033795498038643487,0.0014884059791575237,-8.331075185445564e-08,0.0018668147907048886,7.896959050913531e-08,1.479067451875671e-05,0.0041378384330223415,279.7599357632426,0.0004855494549218504
2,0.002,9.605477235508244e-07,4.9180496285794965e-08,9.61805931793721e-07,0.0033870812101886773,4.4630220566803125e-07,8.50568204454821e-07,4.515827048144584e-05,17397.63261005022,1.000073263354295,1.1173081725272222e-06,0.004148443161829639,0.33408159428424705,0.0010019157354001702,0.33093307855524023,7.389694975689669e-10,4.780998424780888e-08,3.585215661267943e-10,0.9999999999414635,-2.6249269827587356e-10,4.706650608490848e-08,3.585215661058077e-10,1.0000000001134242,-7.389694807784263e-10,-4.780998426323624e-08,1.1646160702483144e-09,1.0000000003226799,-9.362383531774654e-07,-3.7180581174620086e-09,-2.1469944411212083e-07,1.8827663266871744e-09,-4.9142304848777294e-08,-4.5856300115138474e-10,-4.356547683971315e-10,-1.0133861958908213e-05,4.469232690108889e-06,2.106707799019765e-09,1.5700055968117321,2.290560837049282e-09,-9.500193338306837e-07,-0.0033870812101886773,0.0014968035526367045,1.7990732809167219e-06,0.001869982239182589,1.7185087445606815e-06,4.3154610603212577e-07,-0.0033795191581350767,0.0014883964923652264,-8.313889060170352e-08,0.0018667937330888546,7.879825418376959e-08,1.2090076963977473e-05,0.004137800490591617,342.2476267663651,0.0004855465938760629
3,0.003,1.4289656052966894e-06,7.515264834378465e-08,1.430940467550631e-06,0.0034391462333207383,6.692772696772529e-07,1.262541340872015e-06,4.505404761387363e-05,17437.88210847093,1.0000698703046094,1.4989949105470384e-06,0.0042138216468859966,0.3340820678619605,0.0010019154171314122,0.33093319069899996,4.269274711532489e-09,6.810541997026576e-08,-6.762967963425126e-10,0.9999999999414623,7.72325791644129e-10,6.736194180581578e-08,-6.762966569869581e-10,1.0000000001134246,-4.2692749955626475e-09,-6.810541997720465e-08,4.694921618142445e-09,1.0000000003226788,-1.3929849054794552e-06,-1.1815369922469482e-08,-3.1842762326927954e-07,3.958170240841996e-09,-7.504344994112001e-08,8.567743948580702e-10,-3.102930308731834e-09,-1.3573008192228953e-05,5.9959796421881535e-06,6.2519687225745e-09,1.5700074935382173,6.051523560020768e-09,-2.6672755403347026e-06,-0.0034391462333207383,0.0015267469520792644,4.145260923554735e-06,0.0018967264851659383,3.7609627229714864e-06,4.3154640938834197e-07,-0.0033794882891102778,0.0014883869367693463,-8.295958440463783e-08,0.0018667725217758867,7.861946771145758e-08,7.725827594994396e-05,0.0041377622717034225,53.55752723276886,0.00048554371353370967
4,0.004,1.8885417381142874e-06,1.0194390629882287e-07,1.891291214126264e-06,0.003523313221691651,8.941103662230604e-07,1.6634772464791922e-06,4.494833381366402e-05,17478.8980790952,1.0000663893621107,1.8924421796879594e-06,0.004319148919650334,0.3340825487089183,0.0010019145254725316,0.3309333084023691,1.2187345355130219e-08,8.377825455596621e-08,-3.525444380869658e-09,0.9999999999414613,3.6214742203226154e-09,8.30347764990691e-08,-3.5254443511362603e-09,1.0000000001134242,-1.2187345595147169e-08,-8.377825469647882e-08,1.2612991873162116e-08,1.0000000003226779,-1.8410983448347018e-06,-2.7290470271416553e-08,-4.197642332059992e-07,6.9421754110153375e-09,-1.0161836028448515e-07,4.2514803443558055e-09,-8.168331248533018e-09,-1.7096321413920605e-05,7.569768718751838e-06,1.3675899536285636e-08,1.5700094337378843,1.2666189218587316e-08,-5.065400939801184e-06,-0.003523313221691651,0.001573789076563684,7.423930813711137e-06,0.0019401996669469602,6.614665658566547e-06,4.3155087314714806e-07,-0.003379456873016535,0.0014883772123160748,-8.276697703949298e-08,0.0018667509341614807,7.842737438913597e-08,0.0001830678599810583,0.0041377233754989725,22.60212881346276,0.0004855407848283295
5,0.005,2.338661638889279e-06,1.2977622110389512e-07,2.3422596202761756e-06,0.0036395005389045637,1.12231178180662e-06,2.0517686335357005e-06,4.484019671385903e-05,17521.054384100356,1.000062787512377,2.3019117575134444e-06,0.004464345068207323,0.33408304130797817,0.00100191283307365,0.330933434311781,2.623660710909803e-08,9.310280146834771e-08,-8.908396242901517e-09,0.99999999994146,9.004427600389982e-09,9.235932310266981e-08,-8.908396303870102e-09,1.0000000001134237,-2.6236607880185634e-08,-9.310280148916439e-08,2.6662253627129928e-08,1.0000000003226766,-2.2798026844683683e-06,-5.2545431508286763e-08,-5.187262849815077e-07,1.0842841849950589e-08,-1.2889283557722677e-07,1.0532676843329875e-08,-1.630995341443533e-08,-2.073582195282517e-05,9.207647030053778e-06,2.530732754101491e-08,1.5700114341028952,2.2942369612714772e-08,-8.141622165902313e-06,-0.0036395005389045637,0.0016378783113019406,1.1631428004729271e-05,0.0020003650108654488,1.0276180394127458e-05,4.315611406571591e-07,-0.003379424586989623,0.0014883672192329107,-8.255523655818799e-08,0.0018667287482656788,7.821614182249775e-08,0.00032888665744910874,0.004137683402245367,12.580879448734537,0.00048553777877151773
6,0.006,2.7788106187335243e-06,1.5900040684745667e-07,2.7833558134316654e-06,0.0037876261032650464,1.3554278256055136e-06,2.425820245695373e-06,4.47287059797286e-05,17564.73151613777,1.0000590318300704,2.731652487541612e-06,0.004649331578404921,0.33408355013070373,0.0010019101135078973,0.3309335710629921,4.815339638142291e-08,9.436012504693281e-08,-1.7541705421564302e-08,0.99999999994146,1.7637738817479906e-08,9.361664608451004e-08,-1.7541705418028786e-08,1.000000000113423,-4.8153398083730354e-08,-9.436012502958557e-08,4.857904312149941e-08,1.0000000003226757,-2.7083318631104802e-06,-8.997263920744805e-08,-6.153307226530735e-07,1.5668252507231198e-08,-1.5689235993850078e-07,2.050421015192511e-08,-2.8203122661683888e-08,-2.4523448056090218e-05,1.0926609950166448e-05,4.2071384661426016e-08,1.5700135112883218,3.768449013985407e-08,-1.1893169247248557e-05,-0.0037876261032650464,0.0017189629201126706,1.67640571204111e-05,0.002077185426458754,1.47421205271393e-05,4.315788487530888e-07,-0.00337939110907974,0.0014883568580295456,-8.231855466384168e-08,0.0018667057427374397,7.797996130069518e-08,0.000514574970644646,0.004137641953342173,8.040892350667098,0.0004855346664533934
7,0.007,3.2085996391375227e-06,1.9011773596772426e-07,3.2142271851571e-06,0.003967607384092229,1.5950498492361505e-06,2.7840487823784256e-06,4.461293332555225e-05,17610.317186891618,1.0000550894793685,3.185900249443685e-06,0.004874028978894346,0.33408407963730696,0.0010019061412698,0.33093372128109577,7.966696902172998e-08,8.58380349022525e-08,-3.013900728987551e-08,0.9999999999414606,3.02350431179378e-08,8.509455468388993e-08,-3.01390074233391e-08,1.0000000001134206,-7.966697173994688e-08,-8.583803518848188e-08,8.009261570629533e-08,1.0000000003226748,-3.1259296590091523e-06,-1.4195480478422506e-07,-7.095944226098716e-07,2.1426512963617888e-08,-1.8564210473313465e-07,3.496665585904804e-08,-4.452039807025149e-08,-2.8491055440182446e-05,1.274360099777474e-05,6.488945408542113e-08,1.5700156819118223,5.7693653474620445e-08,-1.6317275408567605e-05,-0.003967607384092229,0.001816991047608291,2.2818069423995104e-05,0.0021706235005923185,2.0009163334766374e-05,4.3160562767543646e-07,-0.0033793561182534526,0.0014883460294988521,-8.205114584283237e-08,0.001866681696855545,7.7713046927373e-08,0.000740020217964682,0.004137598631323809,5.591196733938535,0.00048553141904271105
8,0.008,3.627793094351545e-06,2.237897490853894e-07,3.6346890633478484e-06,0.00417936139805154,1.8428212257161566e-06,3.1248828242803746e-06,4.4491952530890486e-05,17658.207092118748,1.0000509277144112,3.668877929781137e-06,0.005138354995782244,0.334084634276592,0.0010019006917736599,0.3309338875805358,1.2249951009124516e-07,6.583108014268646e-08,-4.7411025771992854e-08,0.9999999999414614,4.7507062627793255e-08,6.508759614262671e-08,-4.74110257149977e-08,1.0000000001134155,-1.2249951340575268e-07,-6.583108011840033e-08,1.229251567758105e-07,1.0000000003226717,-3.5318496051650605e-06,-2.1086497809593048e-07,-8.015341932399167e-07,2.8125751046997954e-08,-2.1516693141168625e-07,5.471732404478984e-08,-6.593157494524173e-08,-3.2670416838233984e-05,1.4675511719124549e-05,9.46791038717457e-08,1.570017962553314,8.376771627305075e-08,-2.141117687499025e-05,-0.00417936139805154,0.0019319107213498089,2.9789649786324572e-05,0.0022806414916444672,2.6074062798430296e-05,4.3164310096545873e-07,-0.0033793192943999254,0.00148833463471871,-8.174724625393317e-08,0.0018666563905329707,7.740963450851866e-08,0.0010051149244287747,0.004137553039867296,4.116497462319789,0.00048552800778746776
9,0.009000000000000001,4.036338708901404e-06,2.608335795186437e-07,4.0447576354066465e-06,0.004422804705441534,2.1004420113677985e-06,3.4467627608964783e-06,4.4364839457219677e-05,17708.805862286765,1.000046513879752,4.184795393268648e-06,0.005442223377398394,0.33408521848590106,0.0010018935413519917,0.3309340725651213,1.7836614496502534e-07,3.264053738405437e-08,-7.006557645183875e-08,0.9999999999414617,7.016161097405745e-08,3.1897047007151125e-08,-7.00655763118115e-08,1.000000000113406,-1.783661475456139e-07,-3.264053767548791e-08,1.7879179192714645e-07,1.000000000322665,-3.925354906841871e-06,-2.9906656010187695e-07,-8.911667750410857e-07,3.577411526008131e-08,-2.4549139244671557e-07,8.055026453364229e-08,-9.310368762524203e-08,-3.709322154367552e-05,1.6739181573074593e-05,1.323540074218601e-07,1.5700203697546375,1.1670137899304654e-07,-2.7172112680000296e-05,-0.004422804705441534,0.0020636698539500445,3.767490355011439e-05,0.002407201323678278,3.2933662719995795e-05,4.316928853344184e-07,-0.0033792803183344535,0.0014883225750525815,-8.140111237093435e-08,0.0018666296043198859,7.706398019354943e-08,0.0013097528340477891,0.00413750478379674,3.158996623699444,0.0004855244040150936
